title,price_first,price_second,image_link,product_link
Dell Latitude 3420 - i5 1145G7 | 8GB | M.2 256SSD NVMe | Intel Iris Xe | FHD | WIN 11,"Rs.104,000","Rs.109,500",https://www.neostore.com.np/assets/uploads/3420_4.jpg,https://www.neostore.com.np/product/dell-latitude-3420---i5-1145g7-8gb-m-2-256ssd-nvme-intel-iris-xe-fhd-win-11
Dell Inspiron 14 7420 - i7 1255U | 16GB | 512SSD | NVIDIA MX550 2GB GDDR6 | Touch 2in1 | FHD | Office,"Rs.175,473","Rs.180,900",https://www.neostore.com.np/assets/uploads/7420_2.jpg,https://www.neostore.com.np/product/dell-inspiron-14-7420---i7-1255u-16gb-512ssd-nvidia-mx550-2gb-gddr6-touch-2in1-fhd-office
Dell Inspiron 14 7420 - i5 1235U | 8GB | 512SSD | Intel UHD | Touch 2-in-1 | FHD | Office,"Rs.135,703","Rs.139,900",https://www.neostore.com.np/assets/uploads/7420_31.jpg,https://www.neostore.com.np/product/dell-inspiron-14-7420---i5-1235u-8gb-512ssd-intel-uhd-touch-2-in-1-fhd-office
Dell Inspiron 16 5625 - AMD Ryzen 5 5625U | 8GB | 512SSD | Radeon Graphics | FHD | Office,"Rs.108,545 - Rs.110,045","Rs.111,900",https://www.neostore.com.np/assets/uploads/5625_41.jpg,https://www.neostore.com.np/product/dell-inspiron-16-5625---amd-ryzen-5-5625u-8gb-512ssd-radeon-graphics-fhd-office
Dell Inspiron 16 5620 - i5 1240P | 16GB | 512SSD | Nvidia MX570A 2GB GDDR6 | FHD | Office,"Rs.167,713 - Rs.169,213","Rs.172,900",https://www.neostore.com.np/assets/uploads/5620_3.jpg,https://www.neostore.com.np/product/dell-inspiron-16-5620---i5-1240p-16gb-512ssd-nvidia-mx570a-2gb-gddr6-fhd-office
Dell Inspiron G15 5520 | i7 12700H | 16GB RAM | 512GB SSD | RTX3060 6GB GDDR6 | FHD,"Rs.238,600","Rs.251,000",https://www.neostore.com.np/assets/uploads/5520_2111.jpg,https://www.neostore.com.np/product/dell-inspiron-g15-5520-i7-12700h-16gb-ram-512gb-ssd-rtx3060-6gb-gddr6-fhd
Inspiron 15 5510 - i5-11300H | 8GB RAM | 512GB SSD | Intel Iris Xe | FHD ,"Rs.119,605 - Rs.121,105","Rs.125,900",https://www.neostore.com.np/assets/uploads/541031.jpg,https://www.neostore.com.np/product/inspiron-15-5510---i5-11300h-8gb-ram-512gb-ssd-intel-iris-xe-fhd-
Dell Inspiron G15 5515 - AMD Ryzen 7 5800H | 8GB | 512SSD | NVIDIA RTX 3050 4GB GDDR6 | FHD | Win 11,"Rs.179,500",,https://www.neostore.com.np/assets/uploads/5515_511.jpg,https://www.neostore.com.np/product/dell-inspiron-g15-5515---amd-ryzen-7-5800h-8gb-512ssd-nvidia-rtx-3050-4gb-gddr6-fhd-win-11
Dell Inspiron G15 5511 - i5 11400H | 8GB | 256SSD | NVIDIA RTX 3050 4GB GDDR6 | FHD | Win 11,"Rs.105,000","Rs.145,900",https://www.neostore.com.np/assets/uploads/551121.jpg,https://www.neostore.com.np/product/dell-inspiron-g15-5511---i5-11400h-8gb-256ssd-nvidia-rtx-3050-4gb-gddr6-fhd-win-11
Dell Alienware M15 R6 | i7 11800H | 32GB RAM | 1TB NVMe SSD | RTX 3070 GDDR6 | QHD Display With 240Hz,"Rs.299,999","Rs.359,900",https://www.neostore.com.np/assets/uploads/alien3.jpg,https://www.neostore.com.np/product/dell-alienware-m15-r6-i7-11800h-32gb-ram-1tb-nvme-ssd-rtx-3070-gddr6-qhd-display-with-240hz
Dell Inspiron 15 3515 | AMD Ryzen 3 3250U | 4GB| 1TB | Radeon Graphics | FHD,"Rs.60,705 - Rs.61,705","Rs.63,900",https://www.neostore.com.np/assets/uploads/3515_131.jpg,https://www.neostore.com.np/product/dell-inspiron-15-3515-amd-ryzen-3-3250u-4gb-1tb-radeon-graphics-fhd
Dell Vostro 3510 | i5-1135G7 | 8GB | 512GB SSD | Nvidia MX350-2GB | Ubuntu,"Rs.113,393 - Rs.114,393","Rs.116,900",https://www.neostore.com.np/assets/uploads/vostro_3510_321.jpg,https://www.neostore.com.np/product/dell-vostro-3510-i5-1135g7-8gb-512gb-ssd-nvidia-mx350-2gb-ubuntu
Dell G5-15 5515 | AMD Ryzen 5-5600H | 8GB | 256SSD | NVIDIA RTX 3050 4GB GDDR6 | FHD | Office 2019,"Rs.134,805 - Rs.136,605","Rs.141,900",https://www.neostore.com.np/assets/uploads/Dell-G5-15-5515--AMD-Ryzen-7-Front2.jpg,https://www.neostore.com.np/product/dell-g5-15-5515-amd-ryzen-5-5600h-8gb-256ssd-nvidia-rtx-3050-4gb-gddr6-fhd-office-2019
Dell G5-15 5511 | i7-11800H | 16GB | 512SSD | NVIDIA RTX 3050-4GB GDDR6 | FHD,"Rs.160,110","Rs.179,900",https://www.neostore.com.np/assets/uploads/g5-15.jpg,https://www.neostore.com.np/product/dell-g5-15-5511-i7-11800h-16gb-512ssd-nvidia-rtx-3050-4gb-gddr6-fhd
Dell-15 G5 5511 | i7-11800H | 16GB | 512SSD | NVIDIA RTX 3050 Ti 4GB GDDR6 | FHD | Office 2019,"Rs.162,400","Rs.203,900",https://www.neostore.com.np/assets/uploads/55111.jpg,https://www.neostore.com.np/product/dell-15-g5-5511-i7-11800h-16gb-512ssd-nvidia-rtx-3050-ti-4gb-gddr6-fhd-office-2019
