html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Motherboard Support,Drive bays,Fan Support,Pre-installed,Compatibility,I/O Panel,Expansion Slot,label,description2,Packing Size,Motherboard Type,5.25 Inch,Top,Bottom,Rear,Side,Pre-Installed Fans,CPU Cooler Height,Expansion Slots
ant-esports-ice-110-mid-tower-gaming-cabinet.html,https://www.neostore.com.np/assets/uploads/ICE-110_2.jpg,https://www.neostore.com.np/assets/uploads/ICE-110_3.jpg,https://www.neostore.com.np/assets/uploads/ICE-110.jpg,https://www.neostore.com.np/assets/uploads/ICE-110_2.jpg,Ant Esports ICE-110 Mid Tower Gaming Cabinet,Unique Front Panel – A semi-mesh front panel provides a unique look to the product while offering a direct airflow path to keep all your components cool even under full load. Magnetic Dust Filters – The ICE-110 comes with a magnetic dust filter on the top for easy cleaning as well as for a cleaner interior in every operating condition. Ample of Cooling Support – In terms of cooling the case can support up to a 360mm radiator in the front along with 165mm clearance for even tall CPU air coolers. Multiple storage locations – The ICE-110 allows the installation of up to two SSDs and two HDDs making it ideal for a budget and mainstream gaming PC.,"Current Price: Rs.5,800, Original Price: Rs.",ANT Esports,ICE-110 Mid-Tower Case,"E-ATX, ATX, Micro-ATX, Mini-ITX",3.5 Inch/ 2.5 Inch - 2 HDD + 2SSD or 4SSD in total,"8 Fan support 3 Front, 2 Top, 2 Bottom & 1 Rear",3 Front fans and 1 Rear fan,VGA- 340mm & CPU cooler - 165mm,"2 x USB 2.0, 1 xUSB 3.0, Audio in / Mic In (TRRS Port)",7,," The Ant Esports ICE-110 is a mid-tower cabinet that seamlessly combines a bevy of gaming-centric features such as high airflow, multiple storage options, and USB 3.0 connectivity. Supporting up to E-ATX motherboard and ample fan mounts the ICE-110 is perfect for building mainstream gaming systems without compromising on essential features.  Four 120mm static rainbow fans come out of the box while the case can support a maximum of six 120mm fans simultaneously to provide the ideal airflow for your cooling solutions. Supporting up to two 2.5” SSDs and two 3.5” HDDs at the same time the ICE-110 ensures ample storage options to build the perfect machine for gaming or editing work alike. In terms of liquid cooling the ICE-110 can house upto a 360mm liquid cooler in the front while air coolers of up to 165mm are easily supported so you can build a budget for a mainstream gaming PC with ease inside the case while keeping all your high TDP components cool at all times.  With a graphics card of up to 340mm supported without any hassle and a rich IO panel equipped with two USB 2.0 and one USB 3.0 port along with the standard connectivity options make the Ant Esports ICE-110 the perfect choice for every system builder.  ",,,,,,,,,,
ant-esports-ice-112-gaming-cabinet-black.html,https://www.neostore.com.np/assets/uploads/ICE-112_5.jpg,https://www.neostore.com.np/assets/uploads/ICE-112_3.jpg,https://www.neostore.com.np/assets/uploads/ICE-112_2.jpg,https://www.neostore.com.np/assets/uploads/ICE-112_5.jpg,Ant Esports ICE-112 Gaming Cabinet Black,"Motherboard Support: Fits up to ATX boards for versatile builds. Cooling: Supports 160mm air coolers and 360mm liquid radiators. Storage: Holds 2x 3.5"" HDDs or 2.5"" SSDs. Airflow & Lighting: Includes 4 rainbow LED fans for cooling and style. Easy Setup: Tool-less design and cable management simplify assembly.","Current Price: Rs., Original Price: Rs.",ANT Esports,ICE-112 Gaming Case,"ATX, Micro-ATX, ITX",3.5 Inch/ 2.5 Inch - 2 HDD + 2SSD or 4SSD,"6 Fan support 3 Front, 2 Top, & 1 Rear","3 Front Fans, 1 Rear fan",VGA- 340mm & CPU cooler - 160mm,"2 x USB 2.0, 1 xUSB 3.0, Audio in / Mic In (TRRS Port)",7,,"The Ant Esports ICE-112 Gaming PC Cabinet is the ultimate fusion of style and performance for every avid gamer and PC enthusiast. Designed to elevate your gaming experience, this cabinet boasts an impressive array of features that cater to your customization needs. With support for up to an ATX motherboard, the ICE-112 provides a spacious canvas for your dream gaming rig. The cabinet's cooling prowess is unmatched, accommodating CPU air coolers of up to 160mm in height, ensuring optimal thermal management during intense gaming sessions. For those seeking advanced cooling solutions, the ICE-112 welcomes liquid cooling setups with open arms, allowing for the installation of up to a 360mm radiator in the front.  Storage flexibility is a hallmark of the ICE-112, with the ability to house up to two 3.5"" HDDs or two 2.5"" SSDs simultaneously, ensuring your game library has a home. Furthermore, the cabinet arrives with four pre-installed rainbow LED fans that don't just keep your components cool but also add a vibrant and captivating visual dimension to your setup right out of the box. The ICE-112's meticulous design extends to cable management, enabling a clean and organized interior that complements the sleek exterior aesthetics.Elevate your gaming setup with the Ant Esports ICE-112 Gaming PC Cabinet, where innovative design meets uncompromising performance. Whether you're a seasoned esports player or a dedicated enthusiast, the ICE-112 is ready to house your ambitions and redefine your gaming journey.  ",,,,,,,,,,
ant-esports-sx3-mid-tower-gaming-cabinet.html,https://www.neostore.com.np/assets/uploads/sx3_ant_esports_3.jpg,https://www.neostore.com.np/assets/uploads/sx3_ant_esports_2.jpg,https://www.neostore.com.np/assets/uploads/sx3_ant_esports.jpg,https://www.neostore.com.np/assets/uploads/sx3_ant_esports_3.jpg,Ant Esports SX3 Mid-Tower Gaming Cabinet,"Chassis Size: 381 x 200 x 450 mm Motherboard : EATX, ATX, Micro-ATX, MINI-ATX Drive Bays: 3.5Inch x2, 2.5Inch x2, 5.25Inch x0 Fan Support: Front: 120mm x3 / 140mm x3 Top: 120m x2 /140mm x2, Bottom: 120m x2, Rear: 120mm x1,Side: None VGA Card Length: 340mm CPU Cooler Height: 165mm I/O Panel: USB 2.0 x2, USB 3.0 x1, Audio In x1, Mic In x1","Current Price: Rs.5,800, Original Price: Rs.",ANT Esports,SX3 Mid-Tower Case,"E-ATX, ATX, Micro-ATX, Mini-ITX",3.5 Inch/ 2.5 Inch - 2 HDD + 2SSD or 4SSD,"9 Fan support 3 Front, 2 Top, 2 Bottom & 1 Rear",1 Rear fan,VGA- 340mm & CPU cooler - 165mm,"2 x USB 2.0, 1 xUSB 3.0, Audio in / Mic In (TRRS Port)",7,," The Ant Esports SX3 is tailored made to bring together clean looks, high airflow performance and solid build quality in one single package. Designed to house up to E-ATX size motherboards, makes it the ideal choice for serious gamers looking to build a high-performance system.  The IO panel is well designed and equipped with two USB 2.0 ports along with a single USB 3.0 port so you don’t have to compromise on connectivity.  And with its unique front mesh design, this case provides high airflow to keep your components running smoothly, while also giving your setup an aggressive and eye-catching look.  The Ant Esports SX3 also features support for up to 165mm CPU air coolers and 360mm liquid coolers, ensuring that you'll be able to keep your system running at peak performance no matter how intense your gaming sessions get. And with the ability to support two 3.5"" HDD and two 2.5"" SSD at the same time, you'll have plenty of storage space for all your games and media files.   ",,,,,,,,,,
ant-esports-sx7-mid-tower-argb-gaming-cabinet.html,https://www.neostore.com.np/assets/uploads/SX7_4.jpg,https://www.neostore.com.np/assets/uploads/SX7_3.jpg,https://www.neostore.com.np/assets/uploads/SX7_2.jpg,https://www.neostore.com.np/assets/uploads/SX7_.jpg,Ant Esports SX7 Mid-Tower ARGB Gaming Cabinet,"Rich IO Panel - The case features an IO panel with one USB 3.0 and two USB 2.0 ports, providing convenient connectivity options for your peripherals and accessories. Ample of Fan Support - Three 120mm ARGB fans are included with the case, providing ample cooling power while adding a stylish touch to your gaming setup. The case can support upto eight 120mm fans to create the perfect air cooled system. Unique Design - The front mesh design of the SX7 is unique and optimized for high air flow, ensuring that your components stay cool even during extended gaming sessions. Large Storage Capacity - The SX7 supports a range of storage options, including two 3.5"" HDD and two 2.5"" SSD drives, making it easy to store and access all of your games, files, and media. Flexible Cooling Support - The case can accommodate up to 165mm CPU air coolers and 360mm liquid coolers, allowing for even greater flexibility in customizing your gaming PC.","Current Price: Rs.8,000, Original Price: Rs.",,,,,,,,"2 x USB, 1 x USB 3.0, 1 x Audio In / Mic In (TRRS Port), LED Button",,," The Ant Esports SX7 is tailored made to bring together rugged looks, high airflow performance and solid build quality in one single package. Designed to house up to ATX size motherboards, makes it the ideal choice for serious gamers looking to build a high-performance system.With an IO panel that features one USB 3.0 and two USB 2.0 ports, along with three 120mm A-RGB fans, you'll have all the connectivity and cooling power you need to take your gaming experience to the next level. And with its unique front mesh design, this case provides high airflow to keep your components running smoothly, while also giving your setup an aggressive and eye-catching look.  ",497 x 262 x 468 mm,"ATX, Micro-ATX, Mini-ITX",None,120 / 240 / 280 mm,120 mm x 2,120 mm,None,x 3 Front Fans,165 mm,7
