title,price_first,price_second,image_link,product_link,category
HP Victus 15 Gaming Laptop - Core i5-12450H | 8 GB RAM | 512 GB SSD | RTX 3050 4GB Graphics | 15.6 inch FHD 144Hz Display,"Rs.100,320","Rs.105,600",https://www.neostore.com.np/assets/uploads/victus_2.jpg,https://www.neostore.com.np/product/hp-victus-15-gaming-laptop---core-i5-12450h-8-gb-ram-512-gb-ssd-rtx-3050-4gb-graphics-15-6-inch-fhd-144hz-display,hp-laptops
HP 14-EP0792WM - Intel i3 - N305 | 8GB | 256GB | Intel UHD | Windows 11,"Rs.53,675","Rs.56,500",https://www.neostore.com.np/assets/uploads/14-EP0792WM_3.jpg,https://www.neostore.com.np/product/hp-14-ep0792wm---intel-i3---n305-8gb-256gb-intel-uhd-windows-11,hp-laptops
