html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Series,Model,Processor,Generation /  Series,Memory,Memory Slots Available,Max Upgradable Memory,DIsplay Size,Display Resolution,Display Type,Display Refresh Rate,Touch Screen availability,Storage,Graphics,Battery,Ports and Connectivity,Wireless & Bluetooth,Finger Print Reader,Audio,Dimensions,Weight,Adapter Info,Operating System,Bundeled Software,Warranty & Insurance,Bundeled Accessories,EMI Availability,label,description2
hp-14-ep0792wm---intel-i3---n305-8gb-256gb-intel-uhd-windows-11.html,https://www.neostore.com.np/assets/uploads/14-EP0792WM_3.jpg,https://www.neostore.com.np/assets/uploads/14-EP0792WM_2.jpg,https://www.neostore.com.np/assets/uploads/14-EP0792WM.jpg,https://www.neostore.com.np/assets/uploads/14-EP0792WM_3.jpg,HP 14-EP0792WM - Intel i3 - N305 | 8GB | 256GB | Intel UHD | Windows 11,"Intel Core i3-N305 Processor, 1.8GH z, Up to 3.8GHz 14 inch anti-glare HD display with micro-edge 8GB DDR4 RAM 256GB SSD Intel UHD GPU 14-inch HD (1366 x 768) screen Windows 11","Current Price: Rs.53,675, Original Price: Rs.56,500",HP,n/a,14-EP0792WM,"Intel Core i3-N305 Processor, 1.8GH z, Up to 3.8GHz",n/a,8GB,-,-,14 Inch,1366 x 768,IPS LCD,60 Hz,no,256GB SSD,Intel UHD,"3-cell, 41 Wh Li-ion polymer",1x USB 3.2 Gen 2 Type-A,"Realtek Wi-Fi 6 (1x1) , Bluetooth® 5.3",No,Built-in speaker,29.82 x 20.99 x 1.58 ~ 1.77 cm,1.38 kg,45 W Smart AC power adapter,Windows 11,N/a,1 Year warranty & Insurance,n/a,Yes,,"Stay productive and entertained with the HP 14-inch Laptop PC, designed to balance performance, portability, and affordability. Powered by an Intel Core i3-N305 processor, this laptop delivers smooth multitasking and reliable performance. Features at a Glance: Whether you’re working, streaming, or surfing, the HP 14-inch Laptop PC offers the performance and portability you need in a stylish Moonlight Blue design. "
hp-victus-15-gaming-laptop---core-i5-12450h-8-gb-ram-512-gb-ssd-rtx-3050-4gb-graphics-15-6-inch-fhd-144hz-display.html,https://www.neostore.com.np/assets/uploads/victus_2.jpg,https://www.neostore.com.np/assets/uploads/victus_3.jpg,https://www.neostore.com.np/assets/uploads/victus_1.jpg,https://www.neostore.com.np/assets/uploads/hp-victus-gaming-intel-core-i7-12th-gen-windows-11-home-laptop-15-fa1134tx-mica-silver-16gb-512gb-07.png,HP Victus 15 Gaming Laptop - Core i5-12450H | 8 GB RAM | 512 GB SSD | RTX 3050 4GB Graphics | 15.6 inch FHD 144Hz Display,"HP Victus 15 Gaming Series Laptop.   Intel Core i5-12450H (up to 4.4 GHz with Intel Turbo Boost Technology – 12 MB L3 cache – 8 cores – 12 threads) 8GB DDR4-3200 RAM 512GB PCIe® NVMe™ M.2 SSD Nvidia Geforce RTX 3050 4GB 15.6-inch, FHD (1920 x 1080) 144Hz with 250-Nits brightness Backlit Chiclet Keyboard 1-Zone RGB Windows 11","Current Price: Rs.100,320, Original Price: Rs.105,600",HP,Victus,,Intel Core i5-12450H (up to 4.4 GHz with Intel Turbo Boost Technology – 12 MB L3 cache – 8 cores – 12 threads),12th Gen,8GB,,,15.6 Inch,FHD (1920 x 1080),IPS LCD,144Hz,no,512GB SSD,Nvidia RTX 3050 4GB,52.5 Wh LiPo battery,"1 USB Type-C (5Gbps, DisplayPort 1.4, HP Sleep and Charge)
			2 USB Type-A (5Gbps, one with HP Sleep and Charge)
			1 HDMI 2.1
			1 headphone/microphone combo
			1 RJ-45
			1 AC smart pin",Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),n/a,Audio by B&O; Dual speakers; HP Audio Boost,35.79 x 25.5 x 2.35 cm,2.30 kg,150W AC Power Adapter,Windows 11,N/a,1 Year Warranty,n/a,Yes,," Unleash Gaming Power The HP Victus Gaming Laptop is built for gamers, powered by the robust Intel Core i5-12450H processor, 8 GB DDR4-3200 MHz RAM and a lightning-fast 512 GB PCIe Gen4 NVMe TLC M.2 SSD. With Turbo Boost Technology, it ensures smooth, responsive performance for all your favorite games.  Next-Level Graphics Experience stunning visuals with the NVIDIA GeForce RTX 3050 Laptop GPU featuring 4 GB GDDR6 dedicated memory. Elevate your gameplay with immersive graphics and cutting-edge rendering.  Immersive Display & Audio Dive into vibrant visuals on the 15.6” diagonal Full HD micro-edge display with anti-glare technology and a resolution of 1920 x 1080. Dual B&O-tuned speakers deliver crystal-clear audio, ensuring a rich multimedia experience.  Seamless Productivity Pre-installed with Windows 11 Home, this laptop provides a refreshed interface and innovative tools for creativity, expression, and productivity. Plus, Microsoft Office Home & Student 2021 comes ready to support your academic and professional needs.  High-Speed Connectivity Equipped with versatile ports, including: Stay connected and in control with lightning-fast data transfer and versatile connection options.  Designed for Performance, Built for Gaming."
