title,price_first,price_second,image_link,product_link,category
UNIGAMER Gaming Chair AG52-7 ,"Rs.27,500",,https://www.neostore.com.np/assets/uploads/ag52-7.jpg,https://www.neostore.com.np/product/unigamer-gaming-chair-ag52-7-,gaming-chair
UNIGAMER Gaming Chair QUECLUB,"Rs.30,999",,https://www.neostore.com.np/assets/uploads/cueclub.jpg,https://www.neostore.com.np/product/unigamer-gaming-chair-queclub,gaming-chair
