description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"Asus Ad45-00B 45W Laptop Charger/Adapter for Select Models of Asus-20 V,2.5 A,4 Mm X 1.2Mm Diam-Black","1,499",https://amazon.in//Ad45-00B-Charger-Adapter-Asus-20-Diam-Black/dp/B0DKC2DQBZ/ref=sr_1_90?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-90,Asus,TUF Gaming,16GB RAM,14.0,512GB SSD,Black,1.5 Kg,Windows 10,OLED,11th Gen
"ASUS [Smartchoice ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Core i7-13650HX,Gaming Laptop(16GB RAM/1TB SSD/NVIDIA GeForce RTX 4060 /Windows 11/Office 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS","1,39,990",https://amazon.in//ASUS-Smartchoice-40-64cm-i7-13650HX-G614JV-N3474WS/dp/B09TB4FPKW/ref=sr_1_91?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-91,ASUS,Vivobook ,16GB RAM,16.0,1TB SSD,Arctic Grey,2.50 Kg,Windows 11,ips,13th Gen
"ASUS TUF Gaming F15, 15.6"" FHD 16:9, 144Hz 250nits, Intel Core i7-13620H 13th Gen, Gaming Laptop (16GB RAM/512GB SSD/RTX 4050/Windows 11/Office Home/90WHr Battery/Mecha Gray/2.2 Kg), FX507VU-LP210WS","1,00,990",https://amazon.in//ASUS-TUF-Gaming-15-6-FX507VU-LP210WS/dp/B0DDTRGGQ3/ref=sr_1_94?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-94,ASUS,G-Series,16GB RAM,15.6,512GB SSD,Arctic Grey,2.2 Kg,Windows 11,OLED,13th Gen
"ASUS BP1504 Elegant and Stylish Backpack, Padded Compartment for up to 15.6"" laptops for 39.62 cm (15.6-inch) Laptops, Front Big Pocket, Lightweight ( Dark Grey)",818,https://amazon.in//Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_95?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-95,ASUS,Vivobook ,4GB RAM,15.6,256GB SSD,Black,1.7 Kg,Windows 10,OLED,Intel 13th Gen
"ASUS Vivobook 16X, Intel Core i5-12450H 12th Gen, 16-inch (40.64 cm) FHD+, Creator/Gaming Laptop, (16 GB RAM/512GB SSD/6GB RTX 4050/Win11//Backlit/FP/70WHr /Black/3.97 kg), K3605ZU-MBN541WS","79,990",https://amazon.in//ASUS-Vivobook-i5-12450H-16-inch-K3605ZU-MBN541WS/dp/B0CCPBZX3R/ref=sr_1_96?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-96,ASUS,G-Series,4GB RAM,14.0,512GB SSD,Black,3.97 kg,Windows 10,VA,12th Gen
"ASUS Zenbook Duo OLED (2024), Dual Screen Laptop, 14"" (35.56cm) FHD OLED Touch Display, Intel Core Ultra 7 155H, Built-in AI, (32GB/1TB SSD/Intel Arc Graphics/Win11/Gray/1.65 Kg), UX8406MA-QL761WS","1,99,990",https://amazon.in//ASUS-Zenbook-35-56cm-Graphics-UX8406MA-QL761WS/dp/B09TKJQ7T4/ref=sr_1_97?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-97,ASUS,ROG Strix,4GB RAM,14.0,1TB SSD,Black,1.65 Kg,Windows 11,OLED,11th Gen
"ASUS ROG Strix G16 (2024), 16 ""(40.64cm) QHD+ 240Hz, Intel Core i9 14900HX, Gaming Laptop (16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4070 /Windows 11/Office 2021/Eclipse Gray/2.50 Kg), G614JIR-N4062WS","1,99,990",https://amazon.in//ASUS-40-64cm-14900HX-GeForce-G614JIR-N4062WS/dp/B0D25V5MSM/ref=sr_1_98?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.DWr1ywPbu0UutT-eUxWK4Lc0c5BXbE3Xn6yPQoqffX9mDxPizlVrGewOR_O-E_2IHIs0Xb92aJOxsFQao-1M2h_I9is6c56UweuRG9-m64uNtM4e_hPQWgDKky6LdPZKK-EjvRQ6DRUPfp1ULb_tJUQtIHwYZtQ0BC0sWMSJzWu0mwIbhGHcFfLwaBBW1nDW9JGBbmPM3oXNBcsf6VBdPhnsSfGboPi0LKssTtWn9hM11AFu6imtVZaU1wMfDVK3KmiLkNk6v0vRYHb3sY5IXmkXcC1zGkGmkEDinbmH-lU.iburE-Xn3u4dflX8F9e9OSvK0KzfQOhVqMVoPuvob9A&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371985&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-98,ASUS,G-Series,8GB RAM,14.0,1TB SSD,Silver,2.50 Kg,Windows 11,ips,9th Gen
"ASUS VivoBook 15 (2022), IntelÂ®Coreâ„¢ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Cool Silver/1.7 kg), X1504ZA-NJ322WS","32,899",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-i3-1215U-15-6-inch/dp/B0CCKPTMYX/ref=sr_1_30?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-30,ASUS,Vivobook ,16GB RAM,15.6,256GB SSD,Silver,1.7 kg,Windows 11,OLED,12th Gen
"ASUS Vivobook 15, 15.6"" (39.62Cm) FHD, 60Hz, Intel Core i7-12700H 12Th Gen, Thin and Light Laptop (16GB RAM/512GB SSD/Iris X? Graphics/Windows 11/Office 2021/Quiet Blue/1.7 Kg), X1502ZA-EJ744WS","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MDc3MzYzMjYxODMxMzA1OjE3MzUzNzE5ODk6c3BfYXRmX25leHQ6MzAwMzczMTUyMDQwMTMyOjowOjo&url=%2FASUS-Vivobook-i7-12700H-Graphics-X1502ZA-EJ744WS%2Fdp%2FB0D3LQRHWC%2Fref%3Dsr_1_97_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735371989%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ASUS,Vivobook ,16GB RAM,15.6,512GB SSD,Arctic Grey,1.7 Kg,Windows 11,OLED,12Th Gen
"ASUS Vivobook 15, Intel Core i3-1215U, 15.6"" FHD 16:9 60Hz 250nits, (8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Office 2021/Backlit/42WHr Battery/Cool Silver/1.7 Kg), X1504ZA-NJ320WS","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MDc3MzYzMjYxODMxMzA1OjE3MzUzNzE5ODk6c3BfYXRmX25leHQ6MzAwMjI5OTQyNTA5OTMyOjowOjo&url=%2FASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS%2Fdp%2FB0CCP9PH92%2Fref%3Dsr_1_98_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735371989%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ASUS,ROG Strix,8GB RAM,15.6,512GB SSD,Silver,1.7 Kg,Windows 11,OLED,9th Gen
"ASUS VivoBook Ultra K14 (2021), AMD Ryzen 5 5500U, 14 inches FHD Thin and Light Laptop (8GB RAM/512GB SSD/Integrated Graphics/Office 2019/Windows 10/Indie Black/1.4Kg), KM413UA-EB502TS","45,190",https://amazon.in//ASUS-VivoBook-Integrated-Graphics-KM413UA-EB502TS/dp/B08CS861RB/ref=sr_1_100?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-100,ASUS,TUF Gaming,8GB RAM,14.0,512GB SSD,Black,2.1 Kg,Windows 10,VA,11th Gen
"ASUS Vivobook 15X (2023),Intel Core I5-1335U 13Th Gen,15.6"" (39.62 Cms) Fhd,Thin&Light Laptop (16Gb/512Gb Ssd/Iris X? Graphics/Windows 11/Office 2021/Backlit Kb/Black/1.6 Kg),K3504Vab-Nj541Ws","50,990",https://amazon.in//ASUS-Vivobook-I5-1335U-Graphics-K3504Vab-Nj541Ws/dp/B0C1GJ38ZC/ref=sr_1_101?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-101,ASUS,G-Series,4GB RAM,15.6,512Gb Ssd,Black,1.6 Kg,Windows 11,Va,13Th Gen
"ASUS ROG Strix G16, 16 ""(40.64cm) FHD+ 165Hz, 13th Gen Intel Core i7-13650HX, Gaming Laptop (16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4070 /Windows 11/Office 2021/Eclipse Gray/2.50 Kg), G614JI-BG711WS","1,49,990",https://amazon.in//ASUS-40-64cm-i7-13650HX-GeForce-G614JI-BG711WS/dp/B0D25VFLCN/ref=sr_1_102?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-102,ASUS,TUF Gaming,4GB RAM,16.0,1TB SSD,Silver,2.50 Kg,Windows 11,ips,13th Gen
"Dell Vostro 15 3530 Laptop â€“ 15.6 inch FHD (35.56cm) Display, 13th Gen Intel Core i5-1334U Processor, 8 GB RAM, 512 GB SSD, Intel UHD Graphics, Carbon Black, 1.66Kg, Ideal for Tech Ninjas","49,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NjY5OTg2MDM2NDUxODQxOjE3MzUzNjc2NDU6c3BfYXRmX25leHQ6MzAwMTg5MjkwODYxNTMyOjowOjo&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46P4V5V%2Fref%3Dsr_1_25_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxA7HIoHTdMJM5Fx-pvQJSW8.XDKFcseBcmiqnlvJNrWA5EKItCiBI44IgHCJkOdg2hU%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367645%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Dell,Alienware,16GB RAM,16.0,512GB SSD,Black,1.9 Kg,Windows 11,IPS,Intel 14th Gen
"Dell 15 Thin & Light Laptop, Windows 11 Home, Intel Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + Mso '21, 15 Month Mcafee, Spill-Resistant Keyboard, Black, 1.66Kg","45,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NjY5OTg2MDM2NDUxODQxOjE3MzUzNjc2NDU6c3BfYXRmX25leHQ6MzAwMTM3OTAzNzc3NzMyOjowOjo&url=%2FDell-i5-1235U-Processor-Antivirus-Spill-Resistant%2Fdp%2FB0CSG4G18G%2Fref%3Dsr_1_26_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxA7HIoHTdMJM5Fx-pvQJSW8.XDKFcseBcmiqnlvJNrWA5EKItCiBI44IgHCJkOdg2hU%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367645%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Dell,XPS,8GB RAM,15.6,512GB SSD,Black,1.7 Kg,Windows 11,TN,9th Gen
"Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Windows 11 + MSO'21 & 15 Month McAfee, Grey, Spill-Resistant Keyboard, 1.48kg","47,990",https://amazon.in//Dell-Laptop-i5-1235U-Processor-Spill-Resistant/dp/B0D2DNCMB4/ref=sr_1_30?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-30,Dell,XPS,4GB RAM,14.0,512GB SSD,Black,2.1 Kg,Windows 11,OLED,Intel 14th Gen
Dell Inspiron 15 (5568/5567) 13 (5368/5378) 7368 42Whr 3Cell Battery (FW8KR),"2,629",https://amazon.in//Dell-Inspiron-42Whr-3Cell-Battery/dp/B07B1FQRRZ/ref=sr_1_104?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJIbwnvglEkLyvjUjWQ3jIw2w-D_ExleXoseIqhH8UFHlB8--FXF7Kr7ZA6g-MlFJpgVrWV4A_GW9gEoUuOWmOPk.PNkQV4DIgR0w5o7cb0-1wwrzsqRwB92KLfye_jfyvns&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367661&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-104,Dell,Alienware,16GB RAM,15.6,256GB SSD,Arctic Grey,2.3 Kg,Windows 11,OLED,9th Gen
Dell EcoLoop Essential Backpack 14-16,"1,220",https://amazon.in//Dell-EcoLoop-Essential-Backpack-14-16/dp/B0CS6WZJHJ/ref=sr_1_107?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJIbwnvglEkLyvjUjWQ3jIw2w-D_ExleXoseIqhH8UFHlB8--FXF7Kr7ZA6g-MlFJpgVrWV4A_GW9gEoUuOWmOPk.PNkQV4DIgR0w5o7cb0-1wwrzsqRwB92KLfye_jfyvns&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367661&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-107,Dell,Inspiron,8GB RAM,14.0,512GB SSD,Silver,1.7 Kg,Windows 10,IPS,9th Gen
