description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"ASUS Vivobook 15 (2023), Intel Core i5-1335U 13th Gen, Thin and Light Laptop, 15.6"" (39.62 Cms) FHD, (8GB RAM /512GB SSD/Intel Iris X?/Windows 11/Office 2021/Fingerprint/Blue/1.7 Kg), X1504VA-NJ523WS","45,990",https://amazon.in//ASUS-Vivobook-i5-1335U-Fingerprint-X1504VA-NJ523WS/dp/B0BSDYWDNG/ref=sr_1_35?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-35,ASUS,TUF Gaming,8GB RAM,15.6,512GB SSD,Arctic Grey,1.7 Kg,Windows 11,VA,13th Gen
Asus Eos 2 Carry Bag Handbag,499,https://amazon.in//ASUS-Tear-Resistant-Water-Repellent-Messenger-detachable/dp/B0BWYQN4QS/ref=sr_1_142?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371994&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-142,Asus,ROG Strix,4GB RAM,14.0,256GB SSD,Black,1.4 Kg,Windows 10,VA,Intel 13th Gen
ASUS U65W-01 Mini Mulit-Tips Adaptor/Charger Pin with Plug Dimension 4.0mm*1/4.5mm*1/5.5mm*1 - Black,"2,099",https://amazon.in//ASUS-U65W-01-Universal-Mulit-Tips-Dimension/dp/B08KTSCWT4/ref=sr_1_145?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371994&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-145,ASUS,G-Series,8GB RAM,15.6,512GB SSD,Black,2.4 Kg,Windows 11,ips,9th Gen
"ASUS WT300 Wireless Ergonomic USB Mouse, Ambidextrous Design, Up to 1600 Dpi, Compact & Lighweight Mouse,2.4GHz Nano Dongle, Up to 15 Months of Battery Life - Black",649,https://amazon.in//ASUS-WT300-Mouse-Ambidextrous-Lighweight/dp/B0CFF2K7C8/ref=sr_1_146?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371994&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-146,ASUS,TUF Gaming,4GB RAM,14.0,256GB SSD,Black,2.2 Kg,Windows 11,OLED,9th Gen
"ASUS Vivobook 15, Intel Core i5-1335U 13th Gen, 15.6-inch FHD 60Hz, Thin & Light Laptop (16GB/512GB SSD/Win11/Office 2021/Backlit/42Whr/Cool Silver/1.7 Kg), X1504VA-NJ540WS","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MTQxMzY3NjIzNTM1MTI4OjE3MzUzNzE5OTQ6c3BfYnRmOjMwMDM3MzE1MjA0MDIzMjo6MDo6&url=%2FASUS-Vivobook-i5-1335U-15-6-inch-X1504VA-NJ540WS%2Fdp%2FB0D4TGZG1H%2Fref%3Dsr_1_149_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735371994%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-149-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,ASUS,TUF Gaming,4GB RAM,15.6,512GB SSD,Silver,1.7 Kg,Windows 10,VA,13th Gen
"ASUS Zenbook 14, Intel Core Ultra 5, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Ponder Blue/1.28 Kg), UX3405MA-PZ552WS","1,02,990",https://amazon.in//ASUS-Zenbook-Intel-Ultra-Built/dp/B0D89NT6VZ/ref=sr_1_37?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-37,ASUS,G-Series,16GB RAM,14.0,256GB SSD,Arctic Grey,1.28 Kg,Windows 11,OLED,Intel 12th Gen
"ASUS TUF Gaming VP4700 46.5 cm X 30.0 cm X13.0 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 46.5 cm Laptop","1,999",https://amazon.in//ASUS-VP4700-Backpack-Reflective-Suitable/dp/B0937G637K/ref=sr_1_151?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-151,ASUS,G-Series,8GB RAM,16.0,512GB SSD,Black,2.3 Kg,Windows 10,OLED,9th Gen
"ASUS Marshmallow Md100 USB Mouse, Silent Button, Up to 1600 Dpi, Dual-Mode Connection, (Grey)","1,399",https://amazon.in//ASUS-Marshmallow-Mouse-Connection-Grey/dp/B0CFDZ2HBF/ref=sr_1_153?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-153,ASUS,TUF Gaming,8GB RAM,16.0,512GB SSD,Silver,1.6 Kg,Windows 11,IPS,11th Gen
"ASUS ROG BP4701 Gaming Laptop Backpack with Holographic Cybertext Printing, Roll Up Design, Suitable for up to 17 inch Laptop (Black)","2,149",https://amazon.in//ASUS-BP4701-Backpack-Holographic-Cybertext/dp/B093HFM14H/ref=sr_1_155?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-155,ASUS,ROG Strix,8GB RAM,15.6,256GB SSD,Black,2.4 Kg,Windows 10,TN,11th Gen
"ASUS AC65-00 65W USB Type-C Adapter/Charger Connector, USB PD 3.0 Technology with 5V/3A, 9V/3A, 15V/3A and 20V/3.25A Output for Laptop, Black","2,291",https://amazon.in//ASUS-AC65-00-Adapter-Connector-Technology/dp/B08P34HMZX/ref=sr_1_158?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-158,ASUS,Vivobook ,16GB RAM,16.0,256GB SSD,Black,1.5 Kg,Windows 10,IPS,Intel 12th Gen
