html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Category,Brand,Color,Output level,Frequency Range,System Required,label,description2,Type,Product Dimensions,Compatible Devices,Connector  Type,Battery,Warranty,Price,Output Power,Full Range Driver,Bass Driver,Includes,Best For,Show_countdown,System Requirement,Microphone form factor,Cost,Item Weight,Batteries,Output power,Model,Colour,Connection,Connectivity,LED,Speaker_Dimensions,Cable Length,Weight,Selling Price,Brand Name:,Communication,Audio Crossover,Display Screen,Microphone,PMPO,Connector Type,Power,Inbuild Battery,Battery Capacity,Frequency,Bluetooth Version,Charge time,Maximum play time,Waterproof,Dust proof,IP Code,In the Box,Barnd,Dimensions,Connection Type,Charging Time,Battery Type,Transducer,Signal-to-noise ratio,Bluetooth Profile,Bluetooth Frequency Range,Bluetooth® transmitter power,Bluetooth® transmitter modulation,Package List,Connector type,System Type,I/O,Built-in Microphone,Audio Input,Audio Source,Power Consumption,Technology,Range,Charge Time,Play Time,Water Resistance,Name,Design,Built,Bluetooth,Transmission Range,Speaker Type,Audio,Power Output,Portability,Driver,Bass Radiator,Frequency Response,Playtime,RGB Led Lights,TWS Functionality,Charging Port,Built In Mic,Button Controls,Compatibility,Package Contains,Replacement
fantech-alegro--rgb-gaming-speaker-gs302.html,https://www.neostore.com.np/assets/uploads/gs302_3.jpg,https://www.neostore.com.np/assets/uploads/gs302.jpg,https://www.neostore.com.np/assets/uploads/gs302_2.jpg,https://www.neostore.com.np/assets/uploads/gs302_3.jpg,Fantech ALEGRO -RGB Gaming Speaker | GS302,"Fantech GS302 Alegro Features minimalistic RGB lighting, to enhance your gaming or music experience. Features:   Driver Unit: 52mm Speaker sensitivity : 80dB Frequency response : 100Hz-20KHz Total harmonic distortion: 10% Bluetooth Version : 5.0 Output power: 3W*2","Current Price: Rs.3,999, Original Price: Rs.9,999",Fantech ALEGRO GS302,Speaker,Fantech,Black,,100Hz-20KHz,,,"Gaming Speaker This gaming computer speaker Fantech ALEGRO -RGB Gaming Speaker | GS302 mixes style and technological features with product design, making it an ideal accessory for gaming, video, music, and other activities, as well as a favorite among millions of online gamers. Universal Compatibility This computer speaker works with a wide range of PC brands, including Macbooks, ASUS, Lenovo, ThinkPads, HP, Samsung, Dell, Acer, LG, Google Chromebooks, Microsoft Surfaces, and more. Touch Control A line that is attractive RGB lighting improves gaming performance and creates a movie-watching experience. Six settings are selectable for various moods through a touch-control and the light can also be turned off. Connection After connecting the USB 2.0 cable to the above 5V/1A power adaptor, use the 3.5 mm aux headphone jack cord to connect to other devices (smartphones, MP4 players, tablets, computers, TVs, monitors, projectors, certain PS4s, and so on). You can also connect your gaming speaker with the help of Bluetooth. Thus it supports Bluetooth 5.0V. Headphone Jack An extra 3.5mm headphone can be included. External headphones or earphones may be attached to the jack for usage. This allows you to enjoy private gaming, video, or music moments without having to input an audio wire into the rear of the computer or desktop. Super Speaker This computer speaker's application is in separate 5W*2 drivers, bass diaphragm, and closed cavity. And low-frequency assist design will provide you with a feast of crisp, clear, and delightful stereo sound. Transform your desktop computer or laptop into a superb sound system. USB-powered gaming speakers that are fashionable and unique will fill the room with your music, movies, or computer games.",,,,,,Yes,-,,-,-,Gaming Speaker,Gaming,N/a,Bluetooth or USB,,,,,3W*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-gs202-portable-speaker.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0026_GS202.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0033_sonarblaster6-600x600-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0025_GS202-1-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0024_GS202-2.jpg,Fantech GS202 Portable Speaker,"Fantech Sonar GS202 Sakura Edition Gaming Speaker gives you Clear, Deep, and Perfect Sound with 360° surround sound. This speaker is featured with Hi-res audio, Lighting effects, 45mm driver unit, Magnet free material body. Ity has USB & 3.5mm plug connectivity. This exclusive new gaming speaker has Multi-platform compatibility with Laptop, Desktop, Cellphone.","Current Price: Rs.1,699, Original Price: Rs.4,050",,Speaker,Fantech,,,,,,,,,,,,,,,,,,,,,,,,,,GS-202,Black,Wired,USB & 3.5mm plug,RGB,100 × 80 mm,1.21m,500 Grmas,"1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-gs203-computer-speaker-mini-rgb-lighting-speaker.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-39.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/3-31.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-42.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/4-18.jpg,FANTECH GS203 Computer Speaker Mini RGB Lighting Speaker,Lighting Effect Fantech GS 203 is designed with Chroma lights IO to enhance your gaming experience Bass Membrane Beat GS 203 Is complete with bass membrane to the deepest bass you have ever heard Multi-Platform compatibility Easy and convenient Audio Control RGB Chroma Lighting Effect Magnet free Body Material Bass Membrane,"Current Price: Rs.1,499, Original Price: Rs.2,499",,,,,,50Hz-20KHz,,,"Fantech GS203 Speaker is one of the best products available in the market. A Fantech is an innovator of Gaming Gear and Lifestyle Products. An acoustic specialist designed the speaker, which has a perfect linear frequency response curve. Similarly, the speaker has incredible dynamics, depth, and bass. The speaker, in particular, is suited for all sorts of audio playback. This speaker also has a solo amplifier device with easy front controls. As a consequence, you can avoid distortions and enjoy music that is free of interference. Design This tiny PC speaker has a brilliant black finish that is as dazzling as a mirror and is packaged in an ecologically friendly container. The top exclamation point flashed in time with the music. Because of its gleaming and clear look, the loudspeaker is stunning. Therefore, Lighting Effect Fantech GS 203 has Rgb lighting Designed to improve your gaming experience. Easy Controls Thanks to the conveniently accessible controls on this speaker, you can skip tracks, turn it on or off, and adjust the volume with ease. Also, With its simple control, it is easy to use. Bass Membrane GS 203 Is complete with a bass membrane to the deepest bass you have ever heard. Additional features Description ",,,,,,,,45 W,,,,,,,,,,,,,Black & White,,,,,,,,FANTECH,USB,Full-Range,N/a,N/a,100W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gravastar-g1-mars-pro-sci-fi-themed-bluetooth-speaker.html,https://www.neostore.com.np/assets/uploads/Gravastar_G1_31.jpg,https://www.neostore.com.np/assets/uploads/Gravastar_G1_21.jpg,https://www.neostore.com.np/assets/uploads/Gravastar_G11.jpg,https://www.neostore.com.np/assets/uploads/Gravastar_G1_31.jpg,Gravastar G1 Mars Pro Sci-fi Themed Bluetooth Speaker,"Take partying or simple music listening to the next level with GravaStar's G1 Bluetooth Speaker. This tiny audio bomb is carefully engineered with full-range and subwoofer driver plus Qualcomm's Bluetooth wireless audio code drivers to provide crystal clear and distortion-free sound. Realistic audio with minimal to zero background noise! More than a simple speaker, GravaStar sports a sci-fi inspired design with its zinc alloy sphere, metal legs, and suspension design.","Current Price: Rs.37,990, Original Price: Rs.39,990",Gravastar G1 Mars Pro Bluetooth Speaker,,Gravastar,Black,,,,," Crafted Design, Crafted Sound The GravaStar Mars Pro is created for audiophiles. The Bluetooth speaker has built-in, exclusive DSP audio algorithms that give you a deep bass, accurate mids, and crisp highs. Combined with an equal-loudness contour, you get a powerful sound experience.  Punchy, Heavy Bass Mars Pro’s cutting-edge technology means you can feel the heavy bass at both low and loud volumes. The Bluetooth speaker gives you an ultra-powerful bass that sends vibrations through its sphere and into the room.  Design From a Different Planet Linking technology with mecha sci-fi, the industrial design transports you to a futuristic world. The wireless speaker is built from a zinc alloy sphere, and the triangular design ensures stability and absorbs minor shocks.  Better Sound With True Wireless Stereo Pair two Mars Pro speakers to get an explosive, immersive sound. Equipped with True Wireless Stereo Bluetooth 5.0 technology, your Mars Pro lets you level up your listening experience.  Built-in Light Show Get the party started with GravaStar’s 6 dynamic RGB lights. Set it to a single color, automatically change the colors gradually, or even light up your room to the beat of your music. Mars Pro sets the mood of your room.  Volume at Your Fingertips Turning up the volume shouldn’t be difficult. The highly sensitive touch volume control makes it easy to turn your room into a stadium concert.",Bluetooth Speaker,"7.5""H x 7.1""L x 7.9""W","Audio Player, Laptop, Mobile, Tablet",Bluetooth 5.0,,12 Months,,,,,,,,,Built-in Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gravastar-g5-supernova-bluetooth-speaker.html,https://www.neostore.com.np/assets/uploads/Supernova_41.jpg,https://www.neostore.com.np/assets/uploads/Supernova_31.jpg,https://www.neostore.com.np/assets/uploads/Supernova_21.jpg,https://www.neostore.com.np/assets/uploads/Supernova1.jpg,Gravastar G5 Supernova Bluetooth Speaker,"Supernova Bluetooth Speaker, a fusion of stylish design, powerful sound, and vibrant lighting that sets the mood. Whether you're at home, outdoors, or on-the-go, Supernova delivers a captivating audio-visual experience.  Multifunctional Device as a Bluetooth speaker and a lamp Mecha-Inspired Design 25W Powerful Sound 3 Different Lighting Modes with 8 colors Pair two devices for Stereo Sound Designed with a Handle for Easy Portability Bluetooth 5.3 and AUX compatibility 9 Hours Playtime","Current Price: Rs.34,190, Original Price: Rs.35,990",Gravastar G5 Supernova Bluetooth Speaker,,Gravastar,Black,,,,," SET THE ATMOSPHERE WITH THE LIGHT OF SUPERNOVA The built-in light makes Supernova a lamp for your space. Add the ambient to your room with 3 different light modes with 8 different colors: Dynamic light mode, Single color mode (with eight different colors available), and Camping light mode, intended to mimic the gentle flickering of a campfire, offering a luminous visual experience paired with enveloping audio.  MADE FROM ZINC ALLOY, BUILT TO LAST Supernova combines nostalgia with hyper-modern sci-fi influence while incorporating a classic lantern design. With a hard-core metallic body made from zinc alloy, Supernova’s eye-catching design also absorbs shocks and drops.  AMP UP YOUR LISTENING EXPERIENCE Supernova delivers powerful, high-fidelity audio with its DSP acoustics. The 3"" full-range speaker and 0.5"" high-frequency tweeter create deep bass, clear mids, and crisp highs. With its adaptable sound technology, Supernova creates immersive audio that makes your music come to life.  ROOM-FILLING BASS Supernova delivers deep, impactful bass with its high-performance speaker. With 25 watts of power, it produces rich and dynamic low frequencies, enhancing every beat, allowing users to experience room-filling, powerful bass.  HIGH-QUALITY AUDIO With its precision-tuned 0.5” high-frequency tweeter, Supernova offers clear, detailed sound with stunning clarity for high-quality, detailed audio. Enjoy crystal-clear vocals and every intricate detail in the music, making every moment sound incredible.  DOUBLE THE POWER, DOUBLE THE SOUND Bring Supernova to life with stereo pairing. Simply connect two Supernova speakers in the same room and experience dynamic audio like never before. Get ready to amplify all your favorite tunes and elevate your listening experience: turn up the music, movie, and podcasts.  A SUPERNOVA EXPERIENCE ANYWHERE Supernova comes with a handle that makes it a unique travel accessory, with its lantern physique bringing a fun element to any camping excursion, hanging in a tent, or guiding the way through hiking trails. With a usage time of seven hours and a long Bluetooth connection distance of 20 meters, Supernova is prepared to handle both long working hours and exciting outdoor adventures.",Bluetooth Speaker,206 x 185 x 285 mm ( Length*Width*Height ),"Audio Player, Laptop, Mobile, Tablet",Bluetooth 5.3,,12 Months,,,,,,,,,Built-in Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hifuture-music-box-100w-wireless-karaoke-speaker-.html,https://www.neostore.com.np/assets/uploads/Hifuture_music_box_black_2.jpg,https://www.neostore.com.np/assets/uploads/Hifuture_music_box_black.jpg,https://www.neostore.com.np/assets/uploads/Hifuture_music_box_black_3.jpg,https://www.neostore.com.np/assets/uploads/Hifuture_music_box_black_2.jpg,HiFuture Music Box 100W Wireless Karaoke Speaker,"Set your mood with mood lighting Dual Built-in Wireless Microphone Personalize your sound 100W Output Sing like a rockstar! Built-in DSP, supports multi-band EQ Portable design, easy-to-carry TWS Function Built-In Powerbank","Current Price: Rs.15,999, Original Price: Rs.",,,Hifuture,Black,,,,," Experience Powerful Sound Your non-stop party vibe is backed by a 100W output power with our wireless karaoke speaker MusicBox. Now you can make a party rock and listen to your favourite tracks as loud as you want.
The Two Tweeters in the MusicBox karaoke speaker handle the high-frequency vocals and melodies, while the Two Woofers produce the powerful bass and low-frequency sounds, creating a balanced and immersive audio experience.  Set Your Mood Create the perfect vibe for your next party with RGB LED lights that sync to the music. Watch as your room comes alive with dazzling colours and patterns, setting the perfect mood for your party. Have Clear and Limitless Conversations HiFuture's MusicBox wireless speaker is your go-to speaker for crystal-clear, hands-free conversations. With the built-in microphone, you can take calls without missing a beat. Go Live and Record Your Memorable Moments Share your talents with the world. Our MusicBox enables live broadcasts and recordings, so you can captivate audiences, create content, and relive your most memorable moments.  Double the Sound Experience Experience audio like never before with our MusicBox featuring True Wireless Stereo (TWS) technology. Pair two speakers for an immersive soundstage that engulfs your space, giving you the power to create your sonic universe.  Personalize Your Sound Fine-tune your audio like a pro. HiFuture’s MusicBox comes equipped with a built-in Digital Signal Processor (DSP) and supports multi-band EQ, allowing you to shape your sound to perfection. Sing Like a RockStar Collaborate, harmonize, and elevate your performances with dual wireless microphones. Perfect for duets and group sing-alongs, our MusicBox brings people together through music. Always Ready to Charge to the Max Now just enjoy your party vibe without any worry with our 12000mAh Power Bank, charge devices such as your iPhone14 smartphone three times faster and keep the music playing all night long. ",Karaoke Speaker,,,,,1 Year,,,,,,,,,,,,,,Music Box,,,,,,,,,,,,,,,Bluetooth/ Aux,100W Power Output,Yes,12000mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hifuture-ripple-portable-wireless-speaker.html,https://www.neostore.com.np/assets/uploads/ripple_3.jpg,https://www.neostore.com.np/assets/uploads/ripple_2.jpg,https://www.neostore.com.np/assets/uploads/ripple.jpg,https://www.neostore.com.np/assets/uploads/ripple_3.jpg,Hifuture Ripple Portable Wireless Speaker,"20W81, 10W*1, in total 30W speaker with high bass 12 hrs continuous playback battery backup Pair-to play, Easy connectivity Portable and stylish IPX7 waterproof rating","Current Price: Rs.6,999, Original Price: Rs.",Hifuture Ripple Portable Wireless Speaker,,Hifuture,Black,,,,,,Speaker,N/a,"Audio Player, Laptop, Mobile, Tablet, Television",Bluetooth 5.3,,6 Months,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iui-design-mustang-slim-boombox.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/mustang_slim_boombox.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/mustang_slim_boombox.jpg,,,IUI Design Mustang Slim Boombox,6 watts of output power (3 watts x 2) Incorporates passive radiator to improve bass sound Hands-free speaker with CVC digital echo cancellation and noise reduction Lithium-ion battery with 6 hours of playtime. Touch panel operation.,"Current Price: Rs.3,575, Original Price: Rs.5,500",Mustang Boombox,Speaker,IUI,Green,,N/a,,,"Full-range driver, Dia. 35mm, magnetically shielded speaker Unit Class D Power Amplifier >90dB @ 0.8W 350mV +/- 5mV 2000Hz – 16KHz Condenser microphone FEATURES Bluetooth 2.1: A2DP, AVRCP, HFP, HSP Speakerphone ( Noise Reduction & Echo Cancellation ) Receive call waiting Operated by Lithium-ion rechargeable batteries Playtime: up to 6 hours Touch keys Compatibility COMPATIBILITY Bluetooth 2.0 & above music device CONTROL & CONNECTION Main power switch Power & operations (Tact switch at the bottom) Volume Control (Touch keys on the top) Charging Jack Micro USB POWER SUPPLY Lithium-ion rechargeable battery SIZE AND WEIGHT Dimension: 106 x 122 x 47 mm Weight: 220 g",,,,,,,-,6 Watt,Yes,N/a,Speaker,"Music, Movies",Yes,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbl-bar-2-1-deep-bass-soundbar.html,https://www.neostore.com.np/assets/uploads/uploads/2020/09/bar1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/bar2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/bar3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/bar4.jpg,JBL Bar 2.1 Deep Bass Soundbar,"With Dolby Digital and JBL Surround Sound settings, the sleek JBL BAR 2.1 Deep Bass Soundbar has Bluetooth, Optical, HDMI in, and ARC connectivity. Its four-strong full-range drivers, two 1” tweeters, and JBL designed 6.5” subwoofer produce a room-filling 300 Watts of total system power for an immersive experience. The Bar 2.1's onboard Bluetooth allows you to stream music from your favorite device in addition to providing a true JBL theater experience when paired with a flat-panel TV. Its beautiful, low-profile design will look fantastic beneath your television.","Current Price: Rs.58,000, Original Price: Rs.",JBL Bar 2.1,,JBL,Black,,,,,"Big Thrilling Bass with JBL BAR 2.1 Deep Bass Soundbar Bring the power You're in command of the sound of your JBL Bar 2.1 with a total system power of 300W. Your films and music have never sounded as amazing as they do now. Surround yourself with sound JBL Surround Sound brings movies, games, sports, and music to life in an instant. Upgrade your TV's sound without the need for any additional cords or speakers. All about the bass Why listen to the bass when you can actually feel it? The 6.5-inch wireless subwoofer produces rich, exciting sound. Visit the movies, from your sofa Prepare the popcorn. Dolby Digital surround sound is built-in, giving you a true movie experience at home. Stream it all You're not in the mood for a movie? It's not a problem. Wireless music streaming through Bluetooth from your smartphone or tablet is also possible with the JBL Bar 2.1 Deep Bass. Make a connection It's a cinch to connect JBL Surround Sound. Setting up and using the HDMI or optical connection is a breeze. Features Also, check out Riversong Vibe N SP30 2.1 HERE!",Speaker,96.5 x 5.8 x 6.8 cm; 7.1 Kilograms,"Audio Player, Laptop, Mobile, Tablet, Television",Bluetooth,,3 Months Warranty,,,,,,,,,-,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbl-charge-5-bluetooth-speaker.html,https://www.neostore.com.np/assets/uploads/JBL_Charge_5_Bluetooth_Speaker_3.jpg,https://www.neostore.com.np/assets/uploads/JBL_Charge_5_Bluetooth_Speaker_2.jpg,https://www.neostore.com.np/assets/uploads/JBL_Charge_5_Bluetooth_Speaker.jpg,https://www.neostore.com.np/assets/uploads/JBL_Charge_5_Bluetooth_Speaker_3.jpg,JBL Charge 5 Bluetooth Speaker,"Play and charge endlessly Take the party with you no matter what the weather. The JBL Charge 5 speaker delivers bold JBL Original Pro Sound, with its optimized long excursion driver, separate tweeter and dual pumping JBL bass radiators. Up to 20 hours of playtime and a handy powerbank to keep your devices charged to keep the party going all night. Rain? Spilled drinks? Beach sand? The IP67 waterproof and dustproof Charge 5 survives whatever comes its way. Thanks to PartyBoost, you can connect multiple JBL PartyBoost-enabled speakers for a sound big enough for any crowd. With all-new colors inspired by the latest street fashion trends, it looks as great as it sounds.","Current Price: Rs.27,900, Original Price: Rs.",JBL Charge 5 Bluetooth Speaker,,JBL,"Blue, Green, Black, Red, Grey",,,,," BOLD JBL ORIGINAL PRO SOUND Take the amazing power of JBL Pro Sound with you. The JBL Charge 5 has an optimized long excursion driver, a separate tweeter, and dual JBL bass radiators, all delivering impressively rich and clear audio. Get that big room sound, even when outdoors.  20 HOURS OF PLAYTIME The fun doesn't have to stop. Packed with an incredible 20 hours of battery life, JBL Charge 5 lets you party all day and into the night. ",Bluetooth Speaker,8.7 x 3.76 x 3.67 inch,"Audio Player, Laptop, Mobile, Tablet",Bluetooth 5.1,,12 Months,,,,,,,,,Built-in Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbl-flip-6-speaker.html,https://www.neostore.com.np/assets/uploads/JBL_Flip_6_Speaker_2.jpg,https://www.neostore.com.np/assets/uploads/JBL_Flip_6_Speaker.jpg,https://www.neostore.com.np/assets/uploads/Flip_6_Speaker.jpg,https://www.neostore.com.np/assets/uploads/JBL_Flip_6_Speaker_2.jpg,JBL Flip 6 Speaker,"Bold sound for every adventure Your adventure. Your soundtrack. The bold JBL Flip 6 delivers powerful JBL Original Pro Sound with exceptional clarity thanks to its 2-way speaker system consisting of an optimized racetrack-shaped driver, separate tweeter, and dual pumping bass radiators. This big-sounding, yet easy to carry speaker is waterproof and dustproof, so you can take it anywhere in any weather. And with 12 hours of battery life, you can party 'til the sun goes down—or comes up—wherever the music moves you. Use PartyBoost to link multiple compatible speakers. The Flip 6 comes in a variety of cool colors.","Current Price: Rs.16,500, Original Price: Rs.",JBL Flip 6 Speaker,,JBL,"Blue, Green, Black, Red, Grey",,,,," LOUDER, MORE POWERFUL SOUND The beat goes on with the JBL Flip 6 2-way speaker system, engineered to deliver loud, crystal clear, powerful sound. Its racetrack-shaped woofer delivers exceptional low frequencies and midrange, while a separate tweeter produces crisp, clear high-frequencies. Flip 6 also features optimized dual passive radiators for deep bass, fine-tuned with using Harman's advanced algorithm.  IP67 WATERPROOF AND DUSTPROOF To the pool. To the park. JBL Flip 6 is IP67 waterproof and dustproof, so you can bring your speaker anywhere.  12 HOURS OF PLAYTIME Don't sweat the small stuff like charging your battery. JBL Flip 6 gives you up to 12 hours of playtime on a single charge.  ",Bluetooth Speaker,17.8 x 6.8 x 7.2,"Audio Player, Laptop, Mobile, Tablet",Bluetooth 5.1,,12 Months,,,,,,,,,Built-in Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbl-go-4-ultra-portable-speaker.html,https://www.neostore.com.np/assets/uploads/jbl_go_4_2.jpg,https://www.neostore.com.np/assets/uploads/jbl_go_4_3.jpg,https://www.neostore.com.np/assets/uploads/jbl_go_4.jpg,https://www.neostore.com.np/assets/uploads/jbl_go_4_4.jpg,JBL GO 4 Ultra Portable Speaker,"Grab and go Take big JBL Pro sound wherever you go. The bold, colorful JBL Go 4 ultra-portable Bluetooth speaker fits in the palm of your hand, delivering clear, loud JBL Pro Sound with rich, punchy bass. Its newly redesigned integrated loop makes it easy to bring anywhere, and the variety of colorways means you can choose one that fits your vibe. Plus it's waterproof and dustproof, so it loves to go outside. And up to 7 hours of playtime means it will keep the good times rolling throughout a fun day trip or an evening chilling under the stars. Pair two Go 4's for stereo sound, or wirelessly connect multiple JBL Auracast-enabled speakers for even bigger sound. Crank it up and let your music take you anywhere.","Current Price: Rs., Original Price: Rs.",,,JBL,,,,,,"  Ultra-portable JBL Pro Sound with punchier bass Don't let its little size fool you. The JBL Go 4 packs a serious musical punch, delivering big JBL Pro Sound with punchy bass. Your friends won't believe how much great JBL Pro Sound comes out of such a small speaker.  Up to 7 hours of playtime plus 2 hours with Playtime Boost Don't sweat the small stuff like charging your battery. JBL Go 4 gives you up to 7 hours of playtime on a single charge. Simply tap Playtime Boost to prolong the playtime, adding up to 2 hours to your battery life. It tunes and optimizes the performance for louder and crisper sound.  Waterproof and dustproof The JBL Go 4's IP67 waterproof and dustproof rating ensures this portable speaker can handle almost any environment, from a poolside party to a seaside picnic.",,,,,,1 Years,,,,,,,,,,,,,,GO 4,,,,,,,,,,,,,,,,,,,90 Hz – 20 kHz,5.3,3 Hrs,7 Hrs,Yes,Yes,IP67,"1 x JBL Go 4
			1 x Type-C cable
			1 x Quick Start Guide
			1 x Warranty Card and Safety Sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbl-portable-speaker-clip-4.html,https://www.neostore.com.np/assets/uploads/uploads/2021/03/JBL-_0053_Clip4-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/JBL-_0055_Clip4-5.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/JBL-_0054_Clip4-4.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/JBL-_0052_Clip4-2.jpg,JBL Portable Speaker CLIP 4,"Cool, portable, and waterproof. The vibrant fresh-looking JBL Clip 4 delivers surprisingly rich JBL Original Pro Sound in a compact package. The unique oval shape fits easily in your hand. Fully wrapped in colorful fabrics with expressive details inspired by current street fashion, it’s easy to match your style. The fully integrated carabiner hooks instantly to bags, belts, or buckles, to bring your favorite tunes anywhere. Waterproof, dustproof, and up to 10 hours of playtime, it’s rugged enough to tag along wherever you explore.","Current Price: Rs.8,500, Original Price: Rs.",Clip 4,Speaker,,,,,,,"Rich JBL Original Pro Sound JBL Pro Sound delivers surprisingly rich audio and punchy bass from Clip 4's compact size. Bold style and ultra-portable design JBL Clip 4's ultra-portable design goes great with the latest styles, and its colorful fabrics and expressive details make it look as great as it sounds. Upgraded integrated carabiner With a redesigned carabiner that's integrated into the speaker itself for extra protection, take your JBL Clip 4 anywhere and everywhere. Just clip on a belt, strap, or buckle and go explore the world. IP67 Waterproof and Dustproof To the pool. To the park. JBL Clip 4 IP67 is waterproof and dustproof, so you can bring your speaker anywhere. Wireless Bluetooth Streaming Wirelessly stream music from your phone, tablet, or any other Bluetooth- enabled device. 10 hours of battery life Don’t sweat the small stuff like charging your battery. JBL Clip 4 gives you up to 10 hours of playtime on a single charge.",,,,,,3 Months,,5 W RMS,,,,,,,,,,,,,,,,,,,0.239 kg,,,,,,,,,,,,100Hz-20kHz,,,,,,,,JBL,3.4 x 5.3 x 1.8,Bluetooth ( 5.1 ),3 hours (5V/500mA),Lithium-ion polymer 3.885Wh,40 mm/ 1.5”,>85dB,"A2DP 1.3, AVRCP 1.6",2400 – 2483.5MHz,≤ 10 dBm (EIRP),"GFSK, π/4 DQPSK, 8DPSK","JBL CLIP4, Type C-cable, Safety Card, Warranty card, Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
